知识点ID,场景一级,场景二级,类型,内容,英文,难度,分类标签,创建时间
KB00001,社交,日常社交,单词,你好,hello,beginner,"社交,日常社交,单词",2026-01-25
KB00002,社交,日常社交,单词,你好,hi,beginner,"社交,日常社交,单词",2026-01-25
KB00003,社交,日常社交,单词,再见,goodbye,beginner,"社交,日常社交,单词",2026-01-25
KB00004,社交,日常社交,单词,再见,bye,beginner,"社交,日常社交,单词",2026-01-25
KB00005,社交,日常社交,单词,是,yes,beginner,"社交,日常社交,单词",2026-01-25
KB00006,社交,日常社交,单词,不,no,beginner,"社交,日常社交,单词",2026-01-25
KB00007,社交,日常社交,单词,请,please,beginner,"社交,日常社交,单词",2026-01-25
KB00008,社交,日常社交,单词,谢谢,thank you,beginner,"社交,日常社交,单词",2026-01-25
KB00009,社交,日常社交,单词,谢谢,thanks,beginner,"社交,日常社交,单词",2026-01-25
KB00010,社交,日常社交,单词,对不起,sorry,beginner,"社交,日常社交,单词",2026-01-25
KB00011,社交,日常社交,单词,好的,good,beginner,"社交,日常社交,单词",2026-01-25
KB00012,社交,日常社交,单词,坏的,bad,beginner,"社交,日常社交,单词",2026-01-25
KB00013,社交,日常社交,单词,大的,big,beginner,"社交,日常社交,单词",2026-01-25
KB00014,社交,日常社交,单词,小的,small,beginner,"社交,日常社交,单词",2026-01-25
KB00015,社交,日常社交,单词,新的,new,beginner,"社交,日常社交,单词",2026-01-25
KB00016,社交,日常社交,单词,旧的,old,beginner,"社交,日常社交,单词",2026-01-25
KB00017,社交,日常社交,单词,热的,hot,beginner,"社交,日常社交,单词",2026-01-25
KB00018,社交,日常社交,单词,冷的,cold,beginner,"社交,日常社交,单词",2026-01-25
KB00019,社交,日常社交,单词,高兴的,happy,beginner,"社交,日常社交,单词",2026-01-25
KB00020,社交,日常社交,单词,悲伤的,sad,beginner,"社交,日常社交,单词",2026-01-25
KB00021,社交,日常社交,单词,我,I,beginner,"社交,日常社交,单词",2026-01-25
KB00022,社交,日常社交,单词,你,you,beginner,"社交,日常社交,单词",2026-01-25
KB00023,社交,日常社交,单词,他,he,beginner,"社交,日常社交,单词",2026-01-25
KB00024,社交,日常社交,单词,她,she,beginner,"社交,日常社交,单词",2026-01-25
KB00025,社交,日常社交,单词,我们,we,beginner,"社交,日常社交,单词",2026-01-25
KB00026,社交,日常社交,单词,他们,they,beginner,"社交,日常社交,单词",2026-01-25
KB00027,社交,日常社交,单词,这个,this,beginner,"社交,日常社交,单词",2026-01-25
KB00028,社交,日常社交,单词,那个,that,beginner,"社交,日常社交,单词",2026-01-25
KB00029,社交,日常社交,单词,这里,here,beginner,"社交,日常社交,单词",2026-01-25
KB00030,社交,日常社交,单词,那里,there,beginner,"社交,日常社交,单词",2026-01-25
KB00031,社交,日常社交,单词,什么,what,beginner,"社交,日常社交,单词",2026-01-25
KB00032,社交,日常社交,单词,谁,who,beginner,"社交,日常社交,单词",2026-01-25
KB00033,社交,日常社交,单词,哪里,where,beginner,"社交,日常社交,单词",2026-01-25
KB00034,社交,日常社交,单词,什么时候,when,beginner,"社交,日常社交,单词",2026-01-25
KB00035,社交,日常社交,单词,为什么,why,beginner,"社交,日常社交,单词",2026-01-25
KB00036,社交,日常社交,单词,怎么,how,beginner,"社交,日常社交,单词",2026-01-25
KB00037,社交,日常社交,单词,名字,name,beginner,"社交,日常社交,单词",2026-01-25
KB00038,社交,日常社交,单词,年龄,age,beginner,"社交,日常社交,单词",2026-01-25
KB00039,工作,商务会议,单词,工作,job,beginner,"工作,商务会议,单词",2026-01-25
KB00040,工作,商务会议,单词,工作,work,beginner,"工作,商务会议,单词",2026-01-25
KB00041,生活,饮食烹饪,单词,吃,eat,beginner,"生活,饮食烹饪,单词",2026-01-25
KB00042,生活,饮食烹饪,单词,喝,drink,beginner,"生活,饮食烹饪,单词",2026-01-25
KB00043,社交,日常社交,单词,睡觉,sleep,beginner,"社交,日常社交,单词",2026-01-25
KB00044,社交,日常社交,单词,去,go,beginner,"社交,日常社交,单词",2026-01-25
KB00045,社交,日常社交,单词,来,come,beginner,"社交,日常社交,单词",2026-01-25
KB00046,社交,日常社交,单词,看,see,beginner,"社交,日常社交,单词",2026-01-25
KB00047,社交,日常社交,单词,知道,know,beginner,"社交,日常社交,单词",2026-01-25
KB00048,社交,日常社交,单词,想,think,beginner,"社交,日常社交,单词",2026-01-25
KB00049,社交,日常社交,单词,想要,want,beginner,"社交,日常社交,单词",2026-01-25
